6	52
6	K15
23	28
23	29B
23	30
23	45
23	57
23	60
23	63
23	K09
25	65
27	58
28	28
28	29B
28	30
28	K11
29B	50
29B	54
29B	72
29B	K081
29B	K105
30	29B
31	30
31	31
31	41
31	675
31	68
31	K11
36	48
36	56
36	61
37	K08
39	9
41	9
41	28
41	29B
41	63
45	36
45	50
45	72
47	9
50	57
50	75
52	34
52	49
52	52
52	57
52	59
52	60
52	69
54	36
54	62
56	60
57	57
60	60
60	K01
61	57
61	60
61	61
65	63
675	9
675	23
675	28
675	29B
675	34
675	59
675	60
675	63
675	69
675	75
68	9
68	29B
68	57
68	59
68	60
68	75
72	37
74	27
74	29B
K03	53
K03	60
K03	K03
K03	K07
K05	6
K05	28
K05	34
K05	53
K05	59
K05	60
K07	74
K07	K05
K08	57
K08	60
K081	75
K09	63
K09	69
K10	2
K10	9
K10	28
K10	29B
K10	31
K10	37
K10	39
K10	41
K10	47
K10	49
K10	59
K10	60
K10	61
K10	675
K10	68
K10	K12
K105	56
K105	75
K11	34
K11	29B
K11	59
K11	60
K11	61
K11	69
K12	29B
K12	60
K12	K12
